session,480_501
rel_ts_us,len
0,1292
26,1292
792,-82
1762,-1292
1762,-1292
1762,-1292
1762,-1292
1762,-1280
1985,81
2159,81
2196,79
2776,-83
3404,125
3510,116
3944,1288
3977,1288
3986,967
4112,-572
4112,-158
4397,76
4427,75
4620,-65
4710,-69
4767,75
5860,-627
6456,-1288
6456,-996
6456,-1287
6537,79
6538,-1292
6577,75
6611,-1292
6611,-1292
6611,-1292
6611,-1292
6611,-1292
6611,-1292
6611,-1292
6611,-1292
6611,-1292
6611,-1292
6648,-1292
6648,-1292
6648,-1292
6648,-1292
6648,-1292
6648,-1292
6648,-1292
6648,-1292
6648,-1292
6648,-1292
6682,-1292
6682,-1292
6682,-1292
6682,-1292
6682,-1292
6682,-1292
6682,-1292
6682,-1292
6682,-1292
6682,-1292
6703,75
6712,-1292
6712,-1292
6712,-1292
6712,-1292
6712,-1292
6712,-1292
6712,-1292
6712,-1292
6730,75
6751,75
6772,75
6793,75
6816,75
6836,75
6857,75
6889,75
6911,75
6931,75
6972,75
6996,75
7018,75
7040,75
7078,75
7100,75
7197,75
7222,80
7545,-1292
7545,-1292
7545,-1292
7545,-1292
7545,-1292
7545,-1292
7545,-1292
7545,-1292
7545,-1292
7545,-1292
7580,-1292
7580,-1292
7580,-1292
7580,-700
7580,-1285
7580,-1292
7580,-1292
7580,-1292
7580,-1292
7615,73
7677,73
7697,73
7716,73
7735,74
7754,74
7774,74
7793,74
7812,74
7832,74
8104,-1292
8104,-1292
8104,-1292
8104,-1292
8104,-1292
8156,-1292
8156,-1292
8156,-1292
8156,-1292
8156,-1292
8156,-1292
8156,-1292
8156,-1292
8156,-1292
8156,-1292
8187,74
8198,-1292
8198,-1292
8198,-1292
8198,-1292
8198,-1292
8198,-1292
8198,-1292
8198,-1292
8198,-1292
8198,-1292
8216,74
8230,-1292
8230,-1292
8230,-1292
8230,-1292
8230,-1292
8230,-1292
8230,-1292
8230,-1292
8230,-1292
8238,74
8230,-1292
8261,74
8264,-1292
8264,-1292
8264,-1292
8264,-1292
8264,-1292
8264,-1292
8264,-1292
8264,-1292
8264,-1292
8264,-1292
8283,74
8294,-1292
8294,-1292
8294,-1292
8304,74
8294,-1292
8294,-1292
8294,-1292
8294,-1292
8294,-1292
8294,-1292
8327,74
8349,74
8370,74
8393,79
8415,74
8435,74
8456,74
8477,74
8498,74
8518,74
8566,-1292
8566,-1292
8566,-1292
8596,-1292
8596,-1292
8596,-1292
8596,-1292
8596,-1292
8596,-1292
8596,-1292
8596,-1292
8596,-1292
8596,-1292
8618,-1292
8657,74
8714,75
8807,75
8909,-1292
8909,-1292
8909,-1292
8909,-1292
8946,75
8945,-1292
8945,-1292
8945,-1292
8945,-1292
8945,-1292
8945,-1292
8945,-1292
8945,-1292
8945,-1292
8945,-1292
8979,-1292
8979,-1292
9069,75
9517,-1292
9517,-1292
9517,-1292
9517,-1292
9517,-1292
9517,-1292
9567,-1292
9567,-1292
9567,-1292
9567,-1292
9567,-1292
9567,-1292
9567,-1292
9567,-1292
9567,-1292
9567,-1292
9630,74
9637,-1292
9637,-1292
9637,-1292
9637,-1292
9637,-1292
9637,-1292
9637,-1292
9637,-1292
9637,-1292
9637,-1292
9664,-1292
9664,-1292
9664,-1292
9664,-1292
9664,-1292
9664,-1292
9664,-1292
9664,-1292
9664,-1292
9664,-1292
9692,74
9692,-1292
9692,-1292
9692,-1292
9692,-1292
9692,-1292
9692,-1292
9692,-1292
9692,-1292
9692,-1292
9692,-1292
9723,-1292
9723,-1292
9723,-1292
9723,-1292
9748,74
9723,-1292
9723,-1292
9723,-1292
9723,-1292
9723,-1292
9723,-1292
9772,-1292
9772,-1292
9772,-1292
9772,-1292
9772,-1292
9772,-1292
9912,74
9983,75
10039,75
10483,-1292
10483,-1292
10483,-1292
10483,-1292
10483,-1292
10483,-1292
10529,-1292
10529,-1292
10529,-1292
10529,-1292
10529,-1292
10529,-1292
10529,-1292
10529,-1292
10529,-1292
10529,-1292
10565,-1292
10565,-1292
10565,-1292
10565,-1292
10565,-1292
10565,-1292
10565,-1292
10565,-1292
10565,-1292
10565,-1292
10585,75
10598,-1292
10598,-1292
10598,-1292
10598,-1292
10598,-1292
10598,-1292
10598,-1292
10598,-1292
10598,-1292
10598,-1292
10651,-1292
10651,-1292
10651,-1292
10651,-1292
10651,-1292
10651,-1292
10651,-667
10651,-1285
10651,-1292
10651,-1292
10668,75
10698,-1292
10698,-1292
10698,-1292
10698,-1292
10734,80
10907,75
10980,75
11193,-1292
11193,-1292
11193,-1292
11193,-1292
11193,-1292
11193,-1292
11193,-1292
11193,-1292
11193,-1292
11193,-1292
11237,-1292
11237,-1292
11237,-1292
11237,-1292
11237,-1292
11237,-1292
11237,-1292
11237,-1292
11237,-1292
11237,-1292
11267,-1292
11267,-1292
11267,-1292
11267,-1292
11267,-1292
11267,-1292
11267,-1292
11267,-1292
11267,-1292
11267,-1292
11301,75
11311,-1292
11311,-1292
11311,-1292
11311,-1292
11311,-1292
11311,-1292
11311,-1292
11311,-1292
11311,-1292
11311,-1292
11341,-1292
11341,-1292
11341,-1292
11341,-1292
11341,-1292
11341,-1292
11341,-1292
11341,-1292
11341,-1292
11341,-1292
11371,75
11430,75
11568,75
11629,75
11690,-1292
11690,-1292
11690,-1292
11690,-1292
11690,-1292
11690,-1292
11690,-1292
11742,-1292
11742,-1292
11742,-1292
11742,-1292
11742,-1292
11742,-1292
11742,-1292
11742,-1292
11742,-1292
11742,-1292
11752,75
11771,-1292
11824,75
11771,-1292
11771,-1292
11771,-1292
11771,-1292
11771,-1292
11771,-1292
11771,-1292
11771,-1292
11771,-1292
11856,-1292
11856,-1292
11856,-1292
11856,-1292
11856,-1292
11856,-1292
11856,-1292
11856,-1292
11856,-1292
11856,-1292
11882,-1292
11882,-1292
11882,-1292
11936,75
12008,75
12197,-1292
12197,-1292
12197,-1292
12197,-1292
12197,-1292
12197,-1292
12197,-1292
12197,-1292
12197,-1292
12197,-1292
12239,-1292
12239,-1292
12239,-1292
12239,-1292
12239,-1292
12239,-1292
12239,-1292
12239,-1292
12239,-1292
12239,-1292
12269,-1292
12294,75
12387,75
12269,-1292
12269,-1292
12269,-1292
12269,-1292
12269,-1292
12269,-1292
12269,-1292
12269,-1292
12269,-1292
12426,-1292
12426,-1292
12426,-1292
12426,-1292
12426,-1292
12426,-1292
12426,-1292
12426,-1292
12426,-1292
12426,-1292
12449,75
12577,75
12701,-1292
12743,-1292
12743,-1292
12743,-1292
12743,-1292
12743,-1292
12743,-1292
12743,-1292
12743,-1292
12743,-1292
12743,-1292
12782,-1292
12782,-1292
12782,-1292
12782,-1292
12782,-1292
12782,-1292
12782,-1292
12782,-1292
12782,-1292
12782,-1292
12813,75
12812,-1292
12812,-1292
12812,-1292
12812,-1292
12812,-1292
12812,-1292
12812,-1292
12812,-1292
12812,-1292
12812,-1292
12897,75
12912,-1292
12912,-1292
12912,-1292
12912,-1292
12912,-1292
12912,-1292
12912,-1292
12912,-1292
12912,-1292
12912,-1292
12954,75
12954,-1292
12954,-1292
12954,-1292
12954,-1292
12954,-1292
12954,-1292
12954,-1292
12954,-1292
12954,-1292
12954,-503
12998,-1285
12998,-1292
12998,-1292
12998,-1292
12998,-1292
12998,-1292
12998,-1292
12998,-1292
13105,75
13165,80
13222,75
13318,-1292
13318,-1292
13318,-1292
13385,-1292
13385,-1292
13385,-1292
13385,-1292
13385,-1292
13385,-1292
13385,-1292
13385,-1292
13385,-1292
13385,-1292
13544,-1292
13544,-1292
13544,-1292
13544,-1292
13544,-1292
13544,-1292
13544,-1292
13544,-1292
13544,-1292
13544,-1292
13585,75
13600,-1292
13600,-1292
13600,-1292
13600,-1292
13600,-1292
13600,-1292
13600,-1292
13600,-1292
13600,-1292
13600,-1292
13637,-1292
13637,-1292
13637,-1292
13637,-1292
13637,-1292
13637,-1292
13637,-1292
13637,-1292
13649,75
13710,75
13836,75
14131,-1292
14131,-1292
14131,-1292
14131,-1292
14131,-1292
14131,-1292
14131,-1292
14172,-1292
14172,-1292
14172,-1292
14172,-1292
14273,75
14172,-1292
14172,-1292
14172,-1292
14172,-1292
14172,-1292
14172,-1292
14327,-1292
14327,-1292
14327,-1292
14327,-1292
14327,-1292
14327,-1292
14327,-1292
14327,-1292
14327,-1292
14327,-1292
14355,-1292
14355,-1292
14355,-1292
14355,-1292
14355,-1292
14355,-1292
14355,-1292
14355,-1292
14355,-1292
14401,75
14461,75
14516,75
15004,-1292
15004,-1292
15004,-1292
15004,-1292
15058,-1292
15058,-1292
15058,-1292
15058,-1292
15058,-1292
15058,-1292
15058,-1292
15058,-1292
15058,-1292
15058,-1292
15090,-1292
15090,-1292
15090,-1292
15090,-1292
15160,74
15090,-1292
15090,-1292
15090,-1292
15090,-1292
15090,-1292
15090,-1292
15249,-1292
15249,-1292
15249,-1292
15249,-1292
15249,-1292
15249,-1292
15249,-1292
15249,-1292
15249,-1292
15249,-1292
15277,-1292
15277,-1292
15277,-1292
15277,-1292
15277,-1292
15277,-1292
15277,-1292
15277,-1292
15277,-1292
15277,-1292
15309,74
15308,-1292
15308,-1292
15308,-1292
15308,-1292
15308,-1292
15308,-1292
15308,-1292
15308,-1292
15308,-1292
15308,-1292
15340,-1292
15340,-1292
15340,-1292
15340,-1292
15340,-1292
15340,-1292
15340,-1292
15379,74
15466,75
15340,-1292
15340,-1292
15340,-1292
15493,-1292
15493,-1292
15493,-1292
15493,-1292
15493,-1292
15493,-1292
15493,-1292
15493,-1292
15493,-1292
15493,-1292
15522,-1292
15522,-1292
15522,-1292
15522,-1292
15522,-1292
15522,-1292
15522,-1292
15522,-1292
15522,-1292
15522,-1292
15547,-1292
15547,-1292
15547,-1292
15547,-1292
15547,-1292
15547,-1292
15547,-1292
15547,-1292
15603,75
15661,75
15716,75
15770,75
15849,-1292
15849,-1292
15849,-1292
15894,-1292
15894,-1292
15894,-1292
15894,-1292
15894,-1292
15894,-1292
15894,-1292
15894,-1292
15894,-1292
15908,75
15894,-1292
16014,-1292
16014,-1292
16014,-1292
16014,-1292
16014,-1292
16014,-1292
16014,-1292
16014,-1292
16014,-1292
16014,-1292
16053,-1292
16053,-1292
16053,-1292
16053,-1292
16053,-1292
16053,-1292
16053,-1292
16053,-1292
16053,-1292
16053,-1292
16069,75
16081,-1292
16081,-1292
16081,-1292
16081,-1292
16081,-1292
16081,-1292
16081,-1292
16081,-1292
16081,-1292
16081,-1292
16116,-1292
16116,-1292
16116,-1292
16116,-1292
16116,-1292
16116,-1292
16116,-1292
16116,-1292
16116,-1292
16116,-1292
16143,80
16141,-1292
16141,-1292
16230,75
16141,-1292
16141,-1292
16141,-1292
16141,-1292
16377,75
16385,-1292
16385,-1292
16385,-1292
16385,-1292
16385,-1292
16385,-1292
16385,-1292
16385,-1292
16385,-1292
16385,-1292
16411,-1292
16411,-1292
16411,-1292
16436,-1292
16436,-1292
16436,-1292
16436,-1292
16436,-1292
16436,-1292
16436,-1292
16436,-1292
16436,-1292
16436,-1292
16448,75
16465,-1292
16465,-1292
16465,-1292
16465,-1292
16465,-1292
16465,-1292
16465,-1292
16465,-1292
16465,-1292
16465,-1292
16495,-1292
16495,-1292
16495,-1292
16495,-1292
16495,-1292
16495,-1292
16507,75
16591,75
16495,-1292
16725,75
16781,75
16835,75
16978,-1292
16978,-1292
16978,-1292
16978,-1292
16978,-1292
16978,-1292
16978,-1292
16978,-1292
16978,-1292
16978,-1292
17024,-1292
17024,-1292
17024,-1292
17024,-1292
17024,-1292
17024,-1292
17024,-1292
17024,-1292
17024,-1292
17024,-1292
17064,-1292
17064,-1292
17064,-1292
17064,-1292
17064,-1292
17064,-1292
17064,-1292
17064,-1292
17064,-1292
17064,-1292
17105,-1292
17105,-1292
17105,-1292
17105,-1292
17105,-1292
17105,-1292
17105,-1292
17105,-1292
17105,-1292
